Rank  	Institution  	Count	 Faculty
1	► Carnegie Mellon University ◕	18.1	150
2	► Massachusetts Institute of Technology ◕	12.3	80
3	► Stanford University ◕	10.9	54
3	► University of California - Berkeley ◕	10.9	81
5	► University of Illinois at Urbana-Champaign ◕	10.0	85
6	► Cornell University ◕	8.8	67
7	► University of Michigan ◕	8.5	63
8	► University of Washington ◕	8.3	56
9	► University of California - San Diego ◕	6.9	53
10	► Georgia Institute of Technology ◕	6.8	74
11	► Columbia University ◕	5.8	47
11	► University of Wisconsin - Madison ◕	5.8	46
13	► University of Pennsylvania ◕	5.6	46
14	► University of Southern California ◕	5.5	49
15	► Princeton University ◕	5.3	51
16	► University of Texas at Austin ◕	5.2	42
16	► University of Maryland - College Park ◕	5.2	44
18	► University of California - Los Angeles ◕	4.9	37
19	► Northeastern University ◕	4.8	54
19	► Purdue University ◕	4.8	52
