Institution,Number of Undergraduates,Source,Notes,Date
Massachusetts Institute of Technology,1348,http://web.mit.edu/registrar/stats/yrpts/index.html,,Fall 2017
University of Washington,1000,https://www.cs.washington.edu/about_us,,
University of Maryland - College Park,3109,https://public.tableau.com/shared/RJ346YP5Z?:display_count=no,,Fall 2017
Stanford University,663,https://registrar.stanford.edu/everyone/enrollment-statistics/enrollment-statistics-2016-17/school-engineering-enrollment-2016-17,"Email for accuracy, different numbers on different pages",
University of California - Berkeley,2857,Private correspondence,,Fall 2017
University of Illinois at Urbana-Champaign,1787,https://cs.illinois.edu/about-us/statistics,,2017
Georgia Institute of Technology,2110,http://www.irp.gatech.edu/enrollment,,Fall 2017
Northeastern University,1491,Private correspondence,Recieved an email to n.bekerian@northeastern.edu. Data?,Fall 2017
Cornell University,473,https://www.engineering.cornell.edu/resources/registrar/stats.cfm,Sent an email to ugrad-faculty-director@cs.cornell.edu (Professor Clair Cardie),Fall 2017
University of Michigan,1039,https://www.eecs.umich.edu/eecs/undergraduate/computer-science/cs-enrollment.html,,Fall 2017
Columbia University,846,Private correspondence,"Recieved an email to lcrane@cs.columbia.edu, publicity coordinator. 45% female",2016-2017
University of California - San Diego,1961,http://ir.ucsd.edu/undergrad/stats-data/enrollment/undergrad.html,Computer Science and Engineering,Fall 2016
University of Wisconsin - Madison,366,https://registrar.wisc.edu/enrollment-reports/,,Fall 2017
University of Texas at Austin,1779,https://cns.utexas.edu/about/facts/computer-science,Sent an email to uac@austin.utexas.edu to try to get more up to date numbers,Fall 2016
University of Southern California,391,https://www.cs.usc.edu/undergrad/,Sent an email to ldeleon@usc.edu to try to get more up to date numbers,Fall 2015
University of Pennsylvania,800,Private correspondence,"Received an email to desirae@cis.upenn.edu, associate director of CIS. Date?",Fall 2017
University of California - Los Angeles,1089,http://www.apb.ucla.edu/campus-statistics/enrollment,,Fall 2017
Purdue University,1329,http://www.purdue.edu/enrollmentmanagement/researchanddata/enrollmentsummary.html,,Spring 2017
Princeton University,314,https://registrar.princeton.edu/university_enrollment_sta/opening_enrollment.pdf,,Fall 2017
Carnegie Mellon University,719,https://www.cmu.edu/ira/EnrollmentFacts/index.html,,Fall 2017
